.moov   Apple QuickTime Movie
.mov    Apple QuickTime Movie
.movie  QuickTime Movie File
.mp21   AXMEDIS MPEG-21 Object
.mp21   MPEG-21 Multimedia File
.mp2v   MPEG-2 Video File
.mp4    MPEG-4 Video File
.mp4.infovid    Parrot AR Drone and Gyro Flyer Video
.mp4v   MPEG-4 Video
.mpe    MPEG Movie File
.mpeg   MPEG Movie
.mpeg1  MPEG-1 Video File
.mpeg4  MPEG-4 File
.mpf    MainActor Project File
.mpg    MPEG Video File
.mpg2   MPEG-2 Video File
.mpgindex   Adobe MPEG Index File
.mpl    AVCHD Playlist File
.mpl    MPL2 Subtitles File
.mpls   Blu-ray Movie Playlist File
.mproj  Mine-imator Project
.mpsub  MPlayer Subtitles File
.mpv    MPEG Elementary Stream Video File
.mpv2   MPEG-2 Video Stream
.mqv    Sony Movie Format File
.msdvd  Windows DVD Maker Project File
.mse    MediaShow Slideshow Project File
.msh    Visual Communicator Project File
.mswmm  Windows Movie Maker Project
.mts    AVCHD Video File
.mtv    MTV Video Format File
.mvb    Multimedia Viewer Book Source File
.mvc    Movie Collector Catalog
.mvd    Movie Edit Pro Movie File
.mve    Infinity Engine Movie File
.mvex   Muvee autoProducer 6 Project File
.mvp    MAGIX Video Project File
.mvp    MoviePlus Project File
.mvy    Video easy Project File
.mxf    Material Exchange Format File
.mxv    MAGIX Video File
.mys    Vineyard Captured Video File
.ncor   Adobe Encore Project File
.nsv    Nullsoft Streaming Video File
.nut    NUT Video File
.nuv    NuppelVideo File
.nvc    NeroVision Express Project File
.ogm    Ogg Media File
.ogv    Ogg Video File
.ogx    Ogg Vorbis Multiplexed Media File
.orv    Oracom Video File
.osp    OpenShot Project File
.otrkey OnlineTvRecorder Encoded Video File
.pac    PAC Subtitles File
.par    Dedicated Micros DVR Recording
.pds    PowerDirector Script File
.pgi    Video Recording File
.photoshow  Roxio PhotoShow Project
.piv    Pivot Stickfigure Animation
.pjs    Phoenix Subtitles File
.playlist   CyberLink PowerDVD Playlist
.plproj Adobe Prelude Project File
.pmf    PSP Movie File
.pmv    Return to Zork Video File
.pns    Pelco CCTV Video File
.ppj    Premiere 6 Project File
.prel   Premiere Elements Project File
.pro    ProPresenter Export File
.pro4dvd    ProPresenter DVD Clips Document
.pro5dvd    ProPresenter DVD Clips Document
.proqc  ProPresenter Quartz Composition
.prproj Premiere Pro Project
.prtl   Premiere Pro Title File
.psb    PowerDivX Subtitles File
.psh    Photodex Slide Show
.pssd   PhotoSuite Slide Show File
.pva    PVA Video File
.pvr    Wintal PVR Video File
.pxv    Pixbend Media File
.qt     Apple QuickTime Movie
.qtch   QuickTime Cache File
.qtindex    Adobe QTIndex File
.qtl    QuickTime Link File
.qtm    Apple QuickTime Movie File
.qtz    Quartz Composer File
.r3d    REDCODE Video File
.rcd    pcAnywhere Recorded Session File
.rcproject  iMovie '08 Project
.rdb    Wavelet Video Images File
.rec    Topfield PVR Recording
.rm     Real Media File
.rmd    RED Metadata File
.rmd    RealPlayer Media File
.rmp    RealPlayer Metadata Package File
.rms    Secure Real Media File
.rmv    The Simpsons Hit & Run Video File
.rmvb   RealMedia Variable Bit Rate File
.roq    Id Software Game Video
.rp     RealPix Clip
.rsx    RED Metadata XML File
.rts    RealPlayer Streaming Media
.rts    QuickTime Real-Time Streaming Format
.rum    Bink Video Subtitle File
.rv     Real Video File
.rvid   Snapz Pro X Recorded Video File
.rvl    Muvee Reveal X Project File
.sbk    SWiSH Project Backup File
.sbt    SBT Subtitle File
.scc    ScreenFlow Screen Recording
.scm    ScreenCam Screen Recording
.scm    Super Chain Media File
.scn    Pinnacle Studio Scene File
.screenflow ScreenFlow Document
.sdv    Studio DV Project File
.sec    GuinXell Video File
.sedprj Slideshow Studio Elements Project
.seq    NorPix StreamPix Sequence
.sfd    Sofdec Dreamcast Movie
.sfvidcap   Sonic Foundry Video Capture File
.siv    Silicon Imaging Video File
.smi    SAMI Subtitles File
.smi    SMIL Presentation
.smil   SMIL Presentation File
.smk    Smacker Compressed Movie File
.sml    SMIL Slideshow Presentation
.smv    VideoLink Mail Video File
.snagproj   Snagit Project File
.spl    FutureSplash Animation
.sqz    Squeeze Project File
.srt    SubRip Subtitle File
.ssf    Structured Subtitle Format File
.ssm    Standard Streaming Metafile
.stl    Spruce Technologies Subtitle File
.str    PlayStation Video Stream
.stx    Pinnacle Studio Project File
.svi    Samsung Video File
.swf    Shockwave Flash Movie
.swi    SWiSH Project File
.swt    Flash Generator Template
.tda3mt DivX Author Template File
.tdt    AVCHD Thumbnail File
.tdx    D-TEG CCTV Video Information File
.thp    Wii/GameCube Video File
.tid    AVCHD Thumbnail File
.tivo   TiVo Video File
.tix    DivX Video Download Activation File
.tod    JVC Everio Video Capture File
.tp     Beyond TV Transport Stream File
.tp0    Mascom PVR Video File
.tpd    Cyberlink TOD Video File
.tpr    TMPGEnc Project File
.trec   TechSmith Recording File
.trp    HD Video Transport Stream
.ts     Video Transport Stream File
.tsp    Digital TV DVR Recording
.ttxt   MPEG-4 Timed Text Subtitles File
.tvlayer    BoinxTV TV Layer
.tvrecording    BoinxTV TV recording
.tvs    TeamViewer Video Session File
.tvshow BoinxTV TV Show
.usf    Universal Subtitles Format File
.usm    USM Game Video File
.vbc    VodBurner Crude Video File
.vc1    VC-1 Video File
.vcpf   VideoConvert Project File
.vcr    ATI Video Card Recording
.vcv    ViewCave Video File
.vdo    VDOLive Media File
.vdr    VirtualDub Signpost File
.vdx    The 7th Guest Video File
.veg    Vegas Video Project
.vem    Meta Media Video E-Mail File
.vep    AVS Video Editor Project File
.vf     Vegas Movie Studio Project File
.vft    VideoStudio Filter File
.vfw    Video for Windows
.vfz    Creative Webcam Video Effects File
.vgz    DigitalVDO Compressed Video File
.vid    Generic Video File
.video  aTube Catcher Video File
.viewlet    Qarbon Viewlet
.viv    VivoActive Video File
.vivo   VivoActive Video File
.vix    Lightworks Video Index File
.vlab   VisionLab Studio Project File
.vob    DVD Video Object File
.vp3    On2 Streaming Video File
.vp6    TrueMotion VP6 Video File
.vp7    TrueMotion VP7 Video File
.vpj    VideoPad Video Editor Project File
.vro    DVD Video Recording Format
.vs4    AVTECH CCTV Video Surveillance File
.vse    AVTECH CCTV Video
.vsp    VideoStudio Project File
.w32    WinCAPs Subtitle File
.wcp    WinDVD Creator Project File
.webm   WebM Video File
.wlmp   Windows Live Movie Maker Project File
.wm     Windows Media File
.wmd    Windows Media Download Package
.wmmp   Windows Movie Maker Project File
.wmv    Windows Media Video File
.wmx    Windows Media Redirector File
.wot    WebEx Recording File
.wp3    Microsoft Photo Story Project File
.wpl    Windows Media Player Playlist
.wtv    Windows Recorded TV Show File
.wve    Wondershare Video Editor Project File
.wvx    Windows Media Video Redirector
.xej    Expression Encoder Job File
.xel    Expression Encoder Live Encoding File
.xesc   Expression Encoder Screen Capture File
.xfl    Flash Movie Archive
.xlmv   Xunlei Movie File
.xmv    Xbox Media Video File
.xvid   Xvid-Encoded Video File
.y4m    YUV4MPEG2 Video File
.yog    Outerra Captured Video File
.yuv    YUV Video File
.zeg    ZeroG Subtitles File
.zm1    ZSNES Movie #1 File
.zm2    ZSNES Movie #2 File
.zm3    ZSNES Movie #3 File
.zmv    ZSNES Movie File
